latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean2022,dni_mean2022,dhi_mean2022,temp_mean2022,wind_mean2022,sp_mean2022,Solar_Energy2022
36.85,-111.94,1948.6,-7,b'United States',b'Arizona',b'Coconino',b'None',0,30,226.51695205479453,308.90656392694063,54.543150684931504,97.73538812785388,23.65747716894977,800.7066780821917,357.17193
36.85,-111.9,1957.65,-7,b'United States',b'Arizona',b'Coconino',b'None',0,30,227.03150684931504,309.9462328767123,54.257933789954336,95.28002283105025,23.618150684931507,796.7833333333333,357.98328
36.85,-111.86,1951.04,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,227.1182077625571,309.5609589041096,54.30530821917808,95.85519406392694,23.613013698630137,797.590296803653,358.11999000000003
36.85,-111.82,1945.92,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,227.0188926940639,309.3288812785388,54.538755707762554,99.50245433789956,23.60827625570776,802.8337899543379,357.96338999999995
36.85,-111.78,1951.96,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,227.23162100456625,310.4646118721461,54.53898401826484,101.4314497716895,23.647431506849315,805.9533105022831,358.2988200000001
36.85,-111.74,1988.04,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,227.01221461187217,310.11541095890414,54.51130136986301,95.66272831050227,23.553367579908677,796.731792237443,357.95286000000004
36.85,-111.7,1978.1,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,228.47380136986305,313.2832191780822,52.90108447488584,95.11187214611871,23.52928082191781,795.8150684931506,360.2574900000001
36.85,-111.66,1683.64,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,225.0228881278539,302.04977168949773,53.47100456621005,151.2730593607306,23.448230593607303,884.3934360730593,354.81609
36.85,-111.62,1125.32,-7,b'United States',b'Arizona',b'Coconino',b'None',1,130,221.92174657534247,293.16786529680365,53.52094748858448,153.3046803652968,23.438755707762557,887.8072488584475,349.92620999999997
36.85,-111.58,1159.04,-7,b'United States',b'Arizona',b'Coconino',b'None',1,130,225.20114155251144,302.54360730593606,51.75410958904109,149.14486301369865,23.283447488584475,880.5804794520548,355.09716000000003
36.85,-111.54,1218.76,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,228.06461187214612,308.5759132420091,51.30844748858448,145.74663242009132,23.174486301369864,874.9936643835616,359.61227999999994
36.85,-111.5,1357.95,-7,b'United States',b'Arizona',b'Coconino',b'None',15,130,230.05445205479452,311.774600456621,51.399600456621,132.49326484018266,23.04851598173516,853.2588470319635,362.74986
